date,year,extremum_type,sentiment_value,video_id,video_title,comments_on_date,comments_on_video,video_share_of_discussion
2023-02-20,2023,min,-0.0197745255715631,Z5OOeAwwOrI,Retired lt. col. thinks Putin may have doubts about war after Biden's surprise Kyiv visit,1394,996,0.7144906743185079
2023-02-24,2023,max,0.0207317031866391,hyn-LzxkpUs,‘Russia has already lost’: US officials lay out state of Putin’s invasion,8293,2639,0.31822018569878213
2023-02-26,2023,min,-0.0115000644078489,jQjH9qjM5gQ,'Shocking': Reporter says Russian losses are increasing support for Putin's war,4203,2867,0.682131810611468
2023-03-01,2023,max,0.0125192304358705,Oe3xtxLek8c,Why a retired major is calling for Ukraine to retreat from contested city,507,373,0.7357001972386588
2023-03-03,2023,min,-0.0214360936528966,Fwofx9jNS6I,See why a crowd laughed at a top Russian official,7257,5029,0.6929860824031969
2023-03-05,2023,max,0.0216142031982018,ON1C6XpBaVI,Zakaria asks German chancellor what happens next in Putin's war with Ukraine,2414,1885,0.7808616404308202
2023-03-09,2023,min,-0.0165404131719097,EQQkg2yeT4o,Russia launches overnight aerial assault across Ukraine,2390,1081,0.45230125523012554
2023-03-17,2023,max,0.0806979329823061,6lYq-FVTSKM,ICC issues arrest warrant for Putin,13387,11539,0.8619556285949055
2023-03-22,2023,min,0.0078135545965288,xQd6lGsvzew,Video shows Russian missile strike on apartment building,4657,3442,0.7391024264547992
2023-03-29,2023,max,0.0826275880754523,VJ8E4GwQ84I,Russia is ‘getting hammered’: Top US general on Bakhmut battle,8312,7674,0.9232435033686237
2023-04-03,2023,max,0.1023891516747132,eYl28jCG-EY,Video shows moment of deadly explosion at Russian café,1923,1336,0.6947477899115965
2023-04-16,2023,min,0.0011099330548601,bwgHwzhfoXo,Zakaria asks Yellen if sanctions on Russia are actually working. Hear her response,1057,1057,1.0
2023-04-20,2023,min,0.0009911250669487,xV4RNW6TFkQ,See what happened when journalists filmed suspected Russian spy ship,1915,1240,0.6475195822454308
2023-04-22,2023,max,0.0370405725162241,-f7tIzl49SM,Inside the wait for the Ukrainian counteroffensive against Russia,624,624,1.0
2023-05-01,2023,min,-0.0162316893553043,t0kY4p4AsIY,Video captures Russian attack inside Ukrainian trenches,1288,1068,0.8291925465838509
2023-05-07,2023,max,0.031406332221114,z7a9ppSW4Hs,"French philosopher, filmmaker describes what he saw on the front lines of Ukraine",531,531,1.0
2023-05-10,2023,min,0.0047052353477203,Udy4TmS1Vm4,NATO chief says Putin is getting ‘the exact opposite’ of what he wanted,1727,824,0.47712796757382747
2023-05-13,2023,max,0.0404442334204739,AVRM8jCWusU,Video shows Russians appearing to flee Ukrainian attack near Bakhmut,5066,2953,0.5829056454796684
