id,video_title,video_published_at,comment
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Without a shadow of a doubt Donald J Trump will indeed go down in all of history as the greatest President of all time He beat Kamala Harris to win the election and is day by day Making America Great Again I made a beautiful patriotic song and video dedicated to him on my YT channel called Rumble With The Donald that I ll also be singing at next year s Superbowl halftime show
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,These things are out of the hands of any politicians or presidents as they have been long decided by Heaven What we will see is the return of the king of the north Russia announced in Daniel a Jesus also referred to this event Matthew reads Then you will certainly hear of battles and next the sounds of battles being fought this indicates that the current war in Ukraine will escalate Be careful not to be afraid this in turn indicates that this war will spread to other countries escalating to a very dangerous form with the use of tactical nuclear weapons cf Am for everything must come to pass meaning to be fulfilled Jesus here refers to Da a but the fulfilment implicitly of the sign is not yet there this means that the U S will not get directly involved in this war and the strategic nuclear weapon will not be used yet According to Daniel a we will see Russia depicted as the king of the north RETURN This means that Russia will again have military bases where it had in the previous century
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Great president Trump The ultimate mr DumDum
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Putin owns traitor tRUMP and so this is all an act I m sure the Felon would hate if certain information got into the media
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Trumps physical condition looks to be worsening Not to mention the Mental Health issues he has Too old for the job doesn t have the skill set to be President
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Can t reason with an IDIOT
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Russia is still saying no to a Trump Tower That quid pro quo worked in Vietnam
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Vladdy STOP My s sore
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Alcatraz will be your new home soon your bunkmates like funny jokes
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,I hope this war comes to an end at all I do not want to see more people dying
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,USA its chihuahua vassals proxy are about to surrender unconditionally
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Aw cain t quit cha Vladdy
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,We definitely have strong leadership with President Trump
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Putin and Xi have agreed to work together to counter the US Reuters Maybe it will come to the red headed fool that his allies are completely different
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,The BUSIEST man on the planet THANK YOU FOR ALL YOU DO PRESIDENT TRUMP
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,May I ll have that the Russia Ukraine war done in hours May I was just kidding Aren t I the funniest guy Best funny guy ever
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Trump is the last person to negotiate for Ukraine He is only interested when he profits personally from deals Trump is making billions from crypto While cutting Medicaid and pension It s a rich man s world
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,No strong leadership here DO IT OR DON T DO IT quit playing stupid games
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Trump s caving and back peddling He won t DO anything against Russia
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,If President Trump isn t happy about it it must be crap
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,He s decided that he s a self declared moron
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,I didn t know the USA was negotiating with terrorists
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,I will end that war in hours Tick tock Donald
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,DJT knows very well that though Putin is a snake Zelensky is the problem with regards to ending that war
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,This is how things get done resolved so thousands more will not lose their lives THE ONLY WAY All started by Democrats
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Trump fans are the biggest sheep in the country
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,He just bought Putin more time
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,He knows some things but I been busy tweeting is what he means
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Bless you Trump
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,I m sure if any decisions need made there are other countries with real leaders to make them Fatboy should just waddle back to his make believe land He has his plate full just ruining the US
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Correspondents should include factual details related to questions being asked Most of them TDS infected turkeys exhibit a concoction of negative emotion with false info
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Putin owns Trump which makes the US irrelevant in these peace negotiations
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,God bless you PresidentTrump MAGA
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Trump should shut his stupid toxic mouth and not interfere Everything Trump touches turns to garbage
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Blessed are the peacemakers for they shall be called the children of God MATTHEW
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Anybody else would have been disintegrated by shame but not this soulless narcissist
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Why is he so weak on Russia Appeaser
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Ukraine should decide for Ukraine
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Trump is running a billion crypto scam out of the White House Get better information Fox news plays you townies like a fiddle Your felon coup attempter pardoned violent offenders and spent a decade sleazing around with Jeffrey Epstein
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Send Putin to El Salvador
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,we shouldnt be getting in bed with ukraine not until they have elections and new leadership they dont have the minerals they say they do
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Persian gulf
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,He doesn t know anything lmaoooo He knows nothing We are doomed
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,The POTUS does NOT know if he should uphold the constitution or if people arrested should receive due process pretty sure it was covered in his swearing in ceremony right
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,I may not like Trump like at all but as long as he doesn t abuse his position in a way that would cause the whole nation to collapse I can at least tolerate him
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,This man who assures us he is fabulously intelligent has reassured us with comments such as I have cognitive I know nuclear I do science I have a very big ah brain I have one of the great memories except for depositions I know all the best words Everything s computer After that display of grammatic brilliance and comprehensive vocabulary we are left wondering maybe the man is an idiot
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,TRiUMPh
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,They re dying Russians and Ukrainians I want them to stop dying And I ll have that done I ll have that done in hours Trump Reply
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Putin obviously doesn t want to engage in serious fair negotiations He has one goal he wants Ukraine President Trump even acknowledged that in his book Letters to Trump when he said I always knew he Putin had a deep seated longing for Ukraine It s time for our president to make good on his word of arming Ukraine to the teeth if Putin doesn t negotiate in good faith That time is now
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Fox doesn t want to talk about what s going on on the Russia Finland border
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Ukraine s actions push people to work together for a better world
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,The fact he admitted hes not up to date because he was busy is probably the most honest thing a president ever said He didnt even try to bluff it
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,The bumbling clown show just keeps rolling on Donny s a little distracted with his big fill my pockets tour of the Middle East Is anyone taking note on the personal deals that Trump is grifting in the UAE Saudi Turkey and Qatar What a sham
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Too many lives have been lost needlessly in both sides Pray for peace
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,He knows what must be done to save countless lives ZELINSKI is the problem
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,These reporters are sick and very unprofessional
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Kings are not elected
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,MAGA OSU
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,This is a worthless post with too little context or meaning
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,The tanks of Russia were not in Kyiv because they were not allowed by Ukrainians a red m ron Kiev in hours
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Ukraine will never accept a deal which is not fair Trump is a kerk
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Trump s decision Gift wrapping Ukraine to Communist Russia
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,T s post on Truth Social today was ADMITTING he helped Russia attacking Ukraine He even told Putin where would they be now without him He is absolutely nuts
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,WOE BE GONE U S PRESIDENT TRUMP KNOWS HIMSELF TO BE A WORKING PUTIN ACCOMPLICE OF UNRESOLVED RUSSIAN WAR CRIMES UNRESOLVED HUMANITY CRIMES THROUGHOUT SOVEREIGN WESTERN ALLIED UKRAINE
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,hours b tch of Putin
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,U S PRESIDENT TRUMP IS A WORKING ACCOMPLICE TO SUPPLANT WESTERN ALLIED UKRAINE S TERRITORIAL EXISTENCE WITH THAT OF THE RUSSIAN NAZIFEDERATION
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,PARAPHRASING DONALD JOHN TRUMP PARAPHRASING TRUMP S ONGOING CONVERSATIONS WITH VLAD PUTIN I AM NOT HAPPY AT ALL ABOUT THE SITUATION NOT HAPPY UP UNTIL UKRAINE CAPITULATES OVER TO THE RUSSIAN NAZIFEDERATION
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,Trump learning when it comes down to it all his dictator buddies know he s a fool
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,EXPLAIN THE FAILURE OF THE ONE DAY SOLUTION We were promised a One Day solution So where is it It is nonexistent He promised a new health care program for America to replace an ill conceived Obama Care we have a concept and will reveal it shortly So where is it That is yet another Con When will the lying to the American people STOP I don t care about you I just want your vote I am not a Christian DJT
3Y2nyBD0yLU,Trump warns of 'decisions' that may need to be made in Ukraine-Russia peace talks #trump #news #fox,2025-05-07,His teeth are filthy
